order_id,customer_id,order_date,total_amount,status,processed_by
O1001,C001,2025-01-15,84998.00,Completed,E003
O1002,C002,2025-01-22,34999.00,Completed,E005
O1003,C003,2025-02-03,114998.00,Completed,E003
O1004,C001,2025-02-10,49999.00,Completed,E007
O1005,C004,2025-02-18,179998.00,Completed,E005
O1006,C006,2025-03-01,149997.00,In Progress,E007
O1007,C007,2025-03-08,89999.00,Completed,E003
O1008,C003,2025-03-15,64998.00,Completed,E009
O1009,C005,2025-03-22,12999.00,Completed,E009
O1010,C008,2025-04-01,89999.00,Shipped,E005
