order_item_id,order_id,product_id,quantity,unit_price
OI001,O1001,P001,1,49999.00
OI002,O1001,P007,1,19999.00
OI003,O1001,P004,1,12999.00
OI004,O1002,P002,1,34999.00
OI005,O1003,P003,1,59999.00
OI006,O1003,P008,1,24999.00
OI007,O1003,P004,1,12999.00
OI008,O1004,P001,1,49999.00
OI009,O1005,P006,2,89999.00
OI010,O1006,P003,1,59999.00
OI011,O1006,P009,2,44999.00
OI012,O1007,P006,1,89999.00
OI013,O1008,P002,1,34999.00
OI014,O1008,P005,2,8999.00
OI015,O1008,P010,1,34999.00
OI016,O1009,P004,1,12999.00
OI017,O1010,P006,1,89999.00
